DAS,TEMP,RH,PPFD,CO2,H,P_ATM,t_A,t_A_%,A,CQY,CUE_24,DCG,CGR,WCGR,DOP,DOC,VP_SAT,VPD,P_NET,g_S,g_C,DTR,DCO2C,DCO2P,DNC,DWC,TCB,TEB
14.0,20.72599495,45.93869359,340.0,418.7790963,18.0,101.0,29.467195544350965,0.4751045948342337,0.14469583323071145,0.057992950435024115,0.625,0.11554872818036256,3.4695527738897014,69.39105547779397,6.389142871618573,12.778285743237147,2.4494226362742477,1.3241898766721207,2.853055016799076,0.011374447519957578,0.011322930687606262,0.1736066645173931,8.787397583032282,17.574795166064565,0.005900484953418207,71.95701636877165,13.469552773889701,12.796075135195217
15.0,21.54017288,53.61063467,340.0,406.4143229,18.0,101.0,29.617753189251673,0.5064530014870785,0.16975822354210152,0.0575839502800182,0.625,0.13460655716307954,4.041797440296499,80.8359488059299,7.442925064732713,14.885850129465425,2.575098075569053,1.1945716538815274,3.32361869538468,0.03625831933361404,0.03573997082357594,0.4943376396962016,10.236731755531041,20.47346351106208,0.006873671200711321,84.11721946522373,17.5113502141862,16.63578270347689
16.0,21.5855135,61.25291695,340.0,396.2568576,18.0,101.0,29.74442777800157,0.5379158785442598,0.19736441841761068,0.057243452251088525,0.625,0.15557099051232987,4.671291239366101,93.42582478732194,8.602130899363868,17.20426179872773,2.58225961877968,1.000550279055176,3.8412590249958005,0.06355806094688404,0.061982271744810837,0.7180648830151612,11.83106181734952,23.662123634699036,0.007944218020933383,97.36487637030181,22.182641453552304,21.07350938087469
17.0,21.49777147,62.77004473,340.0,402.9554688,18.0,101.0,29.660577417972334,0.5731513503745592,0.23128967638499323,0.05746845960973314,0.625,0.18302893182884902,5.495763978791892,109.91527957583774,10.120388285614997,20.24077657122999,2.5684165063169027,0.9562203164490793,4.519232884662939,0.0770834343224552,0.07477778299281305,0.8279189682151575,13.919218484753053,27.838436969506102,0.009346355215702574,114.53268238797527,27.678405432344196,26.294485160726985
18.0,21.47418359,65.19331613,340.0,399.8699942,18.0,101.0,29.69904851338487,0.6060800227956022,0.26595482382533364,0.057365037875516035,0.625,0.21008212262218962,6.3080833754458325,126.16166750891654,11.616265426227127,23.232530852454257,2.564706121712044,0.8926891519788486,5.187212904251596,0.09732078565539257,0.0936742066987648,0.9682278310266127,15.976594166289232,31.953188332578467,0.010727823863015533,131.47949625614223,33.986488807790025,32.28716436740053
19.0,21.45366064,70.52161072,340.0,399.451331,18.0,101.0,29.70428842834234,0.6396382813826691,0.3043119926630345,0.05735097581541218,0.625,0.2403221606035478,7.216093435902579,144.32186871805143,13.288355860701552,26.576711721403104,2.561481667279921,0.7550835372166097,5.933880508729577,0.13246799784584176,0.1258020970760526,1.0998669781642516,18.276327281944177,36.55265456388835,0.012272028562709694,150.3974350888956,41.2025822436926,39.14245313150798
20.0,21.41556871,72.06888069,340.0,409.3249421,18.0,101.0,29.58196031330123,0.6760877165739149,0.34953491389097197,0.057680769905202114,0.625,0.2776230693110616,8.336118496435919,166.72236992871822,15.35086956142794,30.701739122855884,2.555506268192696,0.7137815047434304,6.854890600273127,0.15553230097201434,0.1464229044729415,1.2101287772236464,21.113034532496332,42.22606906499267,0.014176795962952843,173.68048688104733,49.53870074012852,47.0617657031221
21.0,21.3844964,65.20032942,340.0,415.8295428,18.0,101.0,29.502758645830703,0.7117978441303385,0.397534311845275,0.057895933123631046,0.625,0.3169250864766214,9.51623034036189,190.32460680723764,17.524032405951942,35.04806481190388,2.550641055429344,0.8876146849676468,7.825310777200529,0.13928969774693922,0.13193862146493954,1.3559813043856952,24.1019246404848,48.20384928096959,0.01618374977868321,198.24229659637746,59.054931080490405,56.10218452646589
22.0,21.28865989,58.28784001,340.0,416.2971354,18.0,101.0,29.49710636890751,0.7458358703004813,0.4467773160864341,0.057911336157948,0.625,0.35627770034666756,10.6978614388843,213.9572287776858,19.699992940929892,39.39998588185978,2.535686247973084,1.0576895045989612,8.796980255473274,0.11505214238794702,0.10999029476606019,1.3470069661069586,27.094662591419823,54.18932518283963,0.018193287310376668,222.68071210697232,69.75279251937471,66.26515289340597
23.0,21.23827253,52.80865919,340.0,403.5656829,18.0,101.0,29.652999260797728,0.775638234693068,0.49275492276901744,0.05748886885152583,0.625,0.3900755015140322,11.712699565086467,234.25399130172914,21.568806071159987,43.13761214231997,2.52785436310784,1.1929283676746758,9.631493864544007,0.09385655354165098,0.09046043179749019,1.2494828614591622,29.664961035781058,59.329922071562116,0.019919168853056834,243.5797099589563,81.46549208446118,77.39221748023812
24.0,21.31791245,54.24721924,340.0,395.1063368,18.0,101.0,29.758953319401254,0.8064799773839249,0.5432089570096343,0.05720462801817371,0.625,0.4278898932522359,12.848142852211575,256.96285704423127,23.65971226479299,47.31942452958597,2.54024280866143,1.1622317230185304,10.565182549437925,0.11746747163639566,0.11219573204758589,1.5098240631341093,32.5407183011094,65.0814366022188,0.02185015721604128,267.3318369864658,94.31363493667276,89.59795318983912
25.0,21.18793177,60.79148288,340.0,397.1912616,18.0,101.0,29.732657735520547,0.8408262800581527,0.6029046609908951,0.05727494522572342,0.625,0.47549643385426105,14.277612545233433,285.5522509046684,26.29206481699998,52.58412963399996,2.520050862804702,0.9880745739754895,11.740652687759534,0.17751396766318692,0.1657451369134342,1.8962159678353758,36.16116143718418,72.32232287436835,0.024281180741181914,297.2932823119468,108.5912474819062,103.16168510781088
26.0,21.15778764,62.36581372,340.0,393.2096354,18.0,101.0,29.782980159958022,0.8729818124431993,0.6622103099642896,0.05714051001613942,0.625,0.5210435098749338,15.645243210137167,312.90486420274306,28.81054148622226,57.621082972444526,2.5153882092320505,0.9466458843275461,12.865271848763797,0.20908086087225294,0.19294446309451832,2.114838228006914,39.6249837746616,79.2499675493232,0.02660703790087888,325.8075376812884,124.23649069204336,118.02466615744119
27.0,21.19822719,63.04602936,340.0,401.7471933,18.0,101.0,29.675612204766143,0.9098380115529203,0.7343331618774396,0.05742800426045009,0.625,0.5806986350561792,17.43649274017313,348.7298548034623,32.10910758737684,64.21821517475367,2.5216450759113966,0.9318479809973033,14.338237902621712,0.23611159424130004,0.21573644395411778,2.327693883107686,44.1617130930052,88.32342618601038,0.029653321266082028,363.08050087093227,141.67298343221648,134.58933426060565
28.0,21.26309397,65.05623748,340.0,391.0966435,18.0,101.0,29.809866208522262,0.93928633574327,0.7952029083659956,0.057068913251897606,0.625,0.6249014069998444,18.763758322632576,375.2751664526512,34.553252405905845,69.10650481181169,2.5317097981879284,0.8846746595743612,15.429664370366533,0.2850137711787698,0.2558459262646091,2.620712467431858,47.523302073325134,95.04660414665027,0.03191053166432939,390.83401805583804,160.43674175484907,152.4149046671066
