t,TEMP,CO2,RH,PPFD,H,P_ATM
14,20.72599495,418.7790963,45.93869359,340,18,101
15,21.54017288,406.4143229,53.61063467,340,18,101
16,21.5855135,396.2568576,61.25291695,340,18,101
17,21.49777147,402.9554688,62.77004473,340,18,101
18,21.47418359,399.8699942,65.19331613,340,18,101
19,21.45366064,399.451331,70.52161072,340,18,101
20,21.41556871,409.3249421,72.06888069,340,18,101
21,21.3844964,415.8295428,65.20032942,340,18,101
22,21.28865989,416.2971354,58.28784001,340,18,101
23,21.23827253,403.5656829,52.80865919,340,18,101
24,21.31791245,395.1063368,54.24721924,340,18,101
25,21.18793177,397.1912616,60.79148288,340,18,101
26,21.15778764,393.2096354,62.36581372,340,18,101
27,21.19822719,401.7471933,63.04602936,340,18,101
28,21.26309397,391.0966435,65.05623748,340,18,101
29,21.23094868,400.6835648,66.15612836,340,18,101
30,21.13165685,409.4004919,72.37288376,340,18,101
31,21.00872187,397.3613426,71.61131805,340,18,101
32,21.04915797,403.7241319,69.39757744,340,18,101
33,21.14843243,395.1932292,72.92087672,340,18,101
34,21.55371554,394.5016204,65.03447649,340,18,101
35,20.99629037,406.0400028,55.65507278,340,18,101
